ppt1,time1,gene1,ppt2,time2,gene2
R1,1.8,GRB2,R1,1.8,HSD17B7P2
R1,1.8,GRIP1,R1,1.8,ZBTB21
R1,1.8,HDLBP,R1,1.8,X
R1,1.8,HEMGN,R1,1.8,LYST
R1,1.8,HSD17B7P2,R1,1.8,DNM3
R1,1.8,IKZF3,R1,1.8,CPD
R1,1.8,IL6ST,R1,1.8,NFATC2IP
R1,1.8,LMO7,R1,1.8,X
R1,1.8,LYST,R1,1.8,ZHX3
R1,1.8,MAP4,R1,1.8,ZHX3
R1,1.8,MAPK14,R1,1.8,PRKACB
R1,1.8,MCF2L2,R1,1.8,X
R1,1.8,MGAT4A,R1,1.8,HDLBP
R1,1.8,NF2,R1,1.8,ALMS1
R1,1.8,NFATC2IP,R1,1.8,ZNF148
R1,1.8,NR2C2,R1,1.8,ZCCHC7
R1,1.8,PHF21A,R1,1.8,NR2C2
R1,1.8,PIP4K2B,R1,1.8,USP24
R1,1.8,POC1A,R1,1.8,PHF21A
R1,1.8,PRKACB,R1,1.8,ST13
R1,1.8,PSEN1,R1,1.8,IKZF3
R1,1.8,RABEP1,R1,1.8,DST
R1,1.8,RBMS2,R1,1.8,X
R1,1.8,SEC16A,R1,1.8,PSEN1
R1,1.8,SNX8,R1,1.8,X
R1,1.8,ST13,R1,1.8,BACH2
R1,1.8,TOP2A,R1,1.8,X
R1,1.8,TRPM7,R1,1.8,WAC
R1,1.8,USP24,R1,1.8,WWOX
R1,1.8,VPS53,R1,1.8,DDX17
R1,1.8,WAC,R1,1.8,X
R1,1.8,WWOX,R1,1.8,TOP2A
R1,1.8,X,R1,1.8,ERLIN1
R1,1.8,X,R1,1.8,MCF2L2
R1,1.8,X,R1,1.8,X
R1,1.8,X,R1,1.8,BRD4
R1,1.8,X,R1,1.8,CNOT6
R1,1.8,X,R1,1.8,PIP4K2B
R1,1.8,X,R1,1.8,SEC16A
R1,1.8,X,R1,1.8,X
R1,1.8,X,R1,1.8,SEPT7
R1,1.8,X,R1,1.8,MAPK14
R1,1.8,X,R1,1.8,X
R1,1.8,X,R1,1.8,BOLA2
R1,1.8,X,R1,1.8,FRMD8
R1,1.8,X,R1,1.8,ZHX3
R1,1.8,X,R1,1.8,MGAT4A
R1,1.8,ZBTB21,R1,1.8,VPS53
R1,1.8,ZBTB25,R1,1.8,X
R1,1.8,ZCCHC7,R1,1.8,NF2
R1,1.8,ZGPAT,R1,1.8,AK001533
R1,1.8,ZHX3,R1,1.8,X
R1,1.8,ZHX3,R1,1.8,FUT8
R1,1.8,ZHX3,R1,1.8,C2CD3
R1,1.8,ZNF148,R1,1.8,GRB2
R1,8.2,AASDHPPT,R1,8.2,CBLB
R1,8.2,AATF,R1,8.2,SETD2
R1,8.2,ATF6,R1,8.2,SRPK1
R1,8.2,BACH2,R1,8.2,WDR44
R1,8.2,CBL,R1,8.2,KIAA0101
R1,8.2,CBL,R1,8.2,HSF5
R1,8.2,CBLB,R1,8.2,EIF4G3
R1,8.2,CREBBP,R1,8.2,BACH2
R1,8.2,DCAF13,R1,8.2,FEZ2
R1,8.2,DHX40,R1,8.2,IP6K2
R1,8.2,DLG1,R1,8.2,TLK1
R1,8.2,EIF4G3,R1,8.2,TNKS
R1,8.2,FAM168A,R1,8.2,ATF6
R1,8.2,FEZ2,R1,8.2,X
R1,8.2,FYN,R1,8.2,X
R1,8.2,HSF1,R1,8.2,X
R1,8.2,HSF1,R1,8.2,DCAF13
R1,8.2,HSF5,R1,8.2,X
R1,8.2,INPP4B,R1,8.2,AATF
R1,8.2,IP6K2,R1,8.2,SMARCC1
R1,8.2,KIAA0101,R1,8.2,STIL
R1,8.2,MCCC1,R1,8.2,HSF1
R1,8.2,MLLT3,R1,8.2,ZEB1
R1,8.2,MYO5A,R1,8.2,CREBBP
R1,8.2,NFATC3,R1,8.2,RALGPS2
R1,8.2,NUMA1,R1,8.2,NUMA1
R1,8.2,NUP85,R1,8.2,VPS13B
R1,8.2,NUP88,R1,8.2,X
R1,8.2,OXCT1,R1,8.2,RELN
R1,8.2,PHF2,R1,8.2,PHF2
R1,8.2,PHF2,R1,8.2,PHF2
R1,8.2,PHF2,R1,8.2,MCCC1
R1,8.2,PHF2,R1,8.2,TTLL5
R1,8.2,PHF2,R1,8.2,RPA3
R1,8.2,RALGPS2,R1,8.2,SKIV2L2
R1,8.2,RELN,R1,8.2,NUP85
R1,8.2,RPA3,R1,8.2,FYN
R1,8.2,SETD2,R1,8.2,AASDHPPT
R1,8.2,SKIV2L2,R1,8.2,NUP88
R1,8.2,SLC25A25,R1,8.2,DLG1
